特征集,特征数,AUC,PR-AUC
Tier1  仅完全安全特征,20,0.6051883490682668,0.08780569861480142
Tier1+2  加时长/合集,22,0.6460052945061808,0.1121598149337032
Tier1+2+3  全量(含泄漏),23,0.6720373227280695,0.1335661642299625
