组别,视频数,平均发布小时,晚间发布占比_百分比,平均时长_分钟,多P合集占比_百分比,平均粉丝数,万粉以下占比_百分比
爆款,1034,15.88,40.2,501.3,22.9,368775,40.8
普通,18422,15.47,37.4,388.3,21.6,334326,38.6
