指标,值
基线互动率,0.0766
标准差,0.06153
变异系数,0.803
MDE +3% 每组样本量,11257.0
MDE +5% 每组样本量,4053.0
MDE +10% 每组样本量,1014.0
MDE +15% 每组样本量,452.0
MDE +20% 每组样本量,255.0
MDE +30% 每组样本量,114.0
MDE +50% 每组样本量,42.0
