词,高互动TFIDF,低互动TFIDF,倍数
连衣裙,0.000529292986039664,0.0010827162574888235,-1.5499735586420773
百元,0.0003167856756641496,0.001035198451648716,-1.5499735586420773
打卡,0.00016296543783221303,0.0006507630239288693,-1.5625874829379367
本地,0.0005580975502629616,0.0013225892781735347,-1.5687840046258574
经济,0.0004071427885051915,0.0011238609688433454,-1.5687840046258574
老板,0.0005693576435673384,0.0014707458750476405,-1.5687840046258574
--,0.0007583695781121992,0.001604564806129995,-1.603955237304748
半年,0.0005098204338226152,0.001310398292676009,-1.6466012653250486
市场,0.00046852566944007105,0.00127885564936745,-1.6466012653250486
探店,0.0006459799920589156,0.0014448932825568243,-1.6466012653250486
到手,0.00033892511513217453,0.0008130835512261418,-1.6487294835362143
妈妈,0.00042064983567988596,0.0014178117439817323,-1.6487294835362143
丝袜,0.00034638451855017755,0.001155802108393386,-1.6487294835362143
广告,0.0001466201849007121,0.0007043866816981825,-1.6593831567806476
变态,0.0001374467861352471,0.0005919858511432137,-1.6593831567806476
1080p,7.548620954198426e-05,0.0006277268361389304,-1.6593831567806476
指数,0.00011232754678084612,0.0006368649073765097,-1.6593831567806476
统计,0.0019362515642809969,0.003297215613722805,-1.6615569130699313
这种,0.0008279428679599517,0.0016980089716701402,-1.6679415788912195
美国,0.0006863479233743734,0.0017255792636068801,-1.701829461745323
收益,0.0008152537563374748,0.0019893709115836556,-1.701829461745323
已经,0.0013350219888925811,0.002680478743099653,-1.7213384198676152
推荐,0.004025599632479773,0.005498779450790385,-1.7278089794775628
深夜,0.00045964948422855815,0.0012588186775767723,-1.7341116162781984
拉满,0.0003408445367326798,0.0012549687763664767,-1.7341116162781984
几个,0.0006819491907836111,0.0015058140895793895,-1.7390714379539987
不好,0.00020417739727046736,0.000905354071910368,-1.7540860039716064
银行,0.00017495361541653895,0.0010508405229818314,-1.7540860039716064
备考,0.00017271911003752965,0.0006755158726518381,-1.7540860039716064
牛肉,0.0002310931614890175,0.0009947912100612519,-1.7540860039716064
趣味,0.00023230538654802878,0.0006316400371827201,-1.7540860039716064
外卖,0.000274901195111339,0.0008984801781299614,-1.7540860039716064
治愈,0.0008142452494601372,0.0021595413612751756,-1.7617813376379023
感觉,0.0007878459897312462,0.0017357400886076557,-1.7617813376379023
阶段,0.0006038839433753627,0.0013074665669558648,-1.7617813376379023
健身房,0.001710302996185323,0.00296635042020731,-1.7865178385589997
本书,0.0010848295770508089,0.0021480034273836986,-1.7865178385589997
隐藏,0.00048551311101493013,0.0013083956774003662,-1.8180519213231268
价位,0.00036436440182145545,0.001104601685712376,-1.8180519213231268
综合,0.00011199260788969275,0.0006261733090078771,-1.8214851471665137
各种,0.0002737834900996202,0.001190542386063514,-1.8301695135088145
城市,0.0003337765226171631,0.0010767282617862926,-1.8301695135088145
欢迎,0.0003651649711228533,0.0012838549095192358,-1.8301695135088145
突击,0.000165634830826476,0.0008176993992977692,-1.8301695135088145
判断,0.00032930960026001716,0.0009948627866977974,-1.8301695135088145
背后,0.00030025473580811866,0.0009197329137509176,-1.8301695135088145
编程语言,0.00036100086242050447,0.0013734269172947901,-1.8301695135088145
一台,0.00035592361618016393,0.0010613247881129833,-1.8301695135088145
为什么,0.0036258087484439044,0.005645533968592945,-1.863633224402181
一起,0.0013911601931126294,0.002700142056633275,-1.8744465659830596
全球,0.0007032974207603042,0.0016347495926847771,-1.8999834126133726
遇到,0.0006095728562540633,0.001622227240470007,-1.8999834126133726
表现,0.0004542958986471931,0.001207260905333117,-1.9048043912322663
130,0.00038038830476538546,0.001312261562706874,-1.9048043912322663
变成,0.0007050540514038865,0.0017844861643959728,-1.912646714715457
值得,0.0011946436548795072,0.0023648987628391268,-1.9191810079559066
第一章,0.00025007437152546076,0.0009608308298034468,-1.925022364339857
精彩,0.00010377738922948449,0.0010020595825390194,-1.925022364339857
爆发,0.0002881912988582759,0.0009770767871395353,-1.925022364339857
3000,0.00019867721169050952,0.0009097422229891239,-1.925022364339857
相机,0.00014483131806957138,0.0009334705440299389,-1.925022364339857
月薪,0.00029642345638867124,0.0008780528934427064,-1.925022364339857
一下,0.0009933047284788675,0.0020654939474169316,-1.9364078031719356
第一次,0.0012804108984739975,0.002423142688794452,-1.9670250489142325
......,0.0006190918453342733,0.0015513200900609712,-1.9790180159493165
原因,0.0004758921618489649,0.0013886316662608698,-1.9790180159493165
性能,0.0005567091065637971,0.0019143671759144678,-1.994421631220432
持续,0.0007375981203429257,0.0015500838570592244,-1.994421631220432
怎么样,0.000411573299019529,0.001373157639759974,-1.9964044328472044
大赛,0.00035930997657598906,0.001289388161054513,-1.9964044328472044
究竟,0.0001738479075629209,0.0010323518694475456,-1.9964044328472044
